,0,1,2,3,4,5,6,7
772,Karaoke Exquisito,Año: 2010,País:: Paraguay,Seguinos en:,"
Hugo Cataldo,             Luis Aguirre,             Leticia Coronel,             Jerónimo Buman,             Richard Careaga ","

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",,"
        Ene        "
773,Kartun,Año: 2013,País:: Argentina,"Kartun (el año de Salomé) es una inmersión en el trabajo y la mente de uno de losdramaturgos argentinos más importantes de los últimos años: Mauricio Kartun. Tras casidos años de registro, la película toma como hilo conductor el proceso creativo de suúltima obra, ""Salomé de Chacra"": desde los primeros ensayos hasta su estreno. En eltranscurso del film nos sumergiremos en sus intereses como artista, su método comodirector, y su infinita pasión por contagiar el amor a la dramaturgia... como la peste misma.",Video,Largometraje,Documental,"
Hugo Crexell,             Monica Salerno "
774,Kátia,Año: 2013,País:: Brasil,"Kátia Tapety tornou-se a primeira travesti eleita a um cargo político no Brasil - foi vereadora três vezes e vice-prefeita. O filme é resultado de 20 dias de convívio com ela em seu pequeno município, no sertão do Piauí.",74,Documental,"
Karla Holanda ",http://katiaofilme.com/trailer2/
775,KFZ-1348 ,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Gabriel Mascaro,             Marcelo Pedroso ","
Gabriel Mascaro,             Marcelo Pedroso ",http://gabrielmascaro.com/trabalhos/kfz-1348/
776,Koldra,Año: 2009,País:: Argentina,"El hilo conductor, la unidad que sobrevuela los distintos fragmentos de los que está conformada la película, es Leontina Kuczala de 90 años, quien extendió una tradición familiar, cosiendo “colchas de camas”, Koldra na lusrko, en polaco (hechas de retazos de telas sobrantes de otras prendas). La muerte, se desoculta una y otra vez en sus palabras como la amenaza del final y la seguridad de lo ineludible. Retratar esa vida, enmarcada en su resistencia final, junto a otros fragmentos que respiran el mismo ambiente, pretende ser parte de una reconstrucción de la identidad de quienes plantean esta realización, que son nietos de Leontina",100,Documental,"
Marcel Czombos,             Yoni Czombos ",www.koldra.com.ar
777,Kuña Kamba ,Año: 2010,País:: Paraguay,Seguinos en:,,,"
        Ene        ","
        Abr        "
778,L.A.P.A.,Año: 2008,País:: Brasil,Seguinos en:,75,Documental,"
Cavi Borges,             Emílio Domingos ","
Emílio Domingos,             Cavi Borges "
779,La araña vampiro,Año: 2012,País:: Argentina,"Jerónimo tiene 20 años y está medicado con psicofármacos. Su padre cree que unos días en la montaña pueden curarlo. La primera noche Jerónimo es atacado por una araña monstruosa que lo envenena. La gente del lugar lo conduce ante un hombre extraño que identifica a ""la araña vampiro"", y le predice una muerte segura, salvo que consiga que una araña de la misma especie lo vuelva a picar. Su única salvación es Ruiz, un ermitaño alcohólico que conoce el camino hacia la zona donde habitan las arañas. Jerónimo debe entregarse a este hombre y confiarle su vida en una travesía hacia lo profundo de la montaña.",35mm,Largometraje,Terror,
780,La Asamblea,Año: 2008,País:: Argentina,"La película propone un viaje de observación por el corazón del Frente de Artistas del Borda. Allí ocurren todos los problemas y vicisitudes implícitos en cualquier proceso creativo. Solo que en este caso, las personas que componen el grupo en su mayoría viven encerrados en el Neuropsiquiátrico J.T. Borda, privados de sus derechos fundamentales en función de arcaicos preconceptos sobre salud mental.",70,Documental,"
Galel Maidana ",
781,La Balada de Vlad Tepes,Año: 2009,País:: Uruguay,"El oscuro personaje de Sangre en la Mondiola regresa para enfrentarse a enemigos aún más siniestros que él. Un traficantede obras de arte, un policía corrupto, una periodista demasiado curiosa, un vengativo sujeto y un profesor venido de Europa, seinterponen en el camino de Tepes, quien busca reencontrarse con su hija desaparecida misteriosamente.El terror, el thriller, la comedia negra y hasta un soplo de western, junto con homenajes a Stephen King, al humor guarro de Torrente y a John Carpenter, dan la tónica al film.",90,"Suspenso, Terror","
Guzmán Vila ","
Silvio Galizzi, Daniel Guridi, Herardo Trápani, Luis Gallo, Mónica Núñez, Wilson Silvera y Carlos Maceiras. "
782,La banda del galpón,Año: 2013,País:: Argentina,"Laura está en una relación con Killi, un misionero español que intenta sostener un centrocultural en el Gran Buenos Aires. Pero la pareja comienza a verse afectada debido al cierredel centro cultural. Dos alumnos les ofrecen un lugar para seguir dando las clases, sinembargo, las confusiones de Laura sobre qué rumbo darle a su vida, complican aún máslas cosas",Video,Largometraje,Drama,"
Ernesto Aguilar "
783,La boleta,Año: 2013,País:: Argentina,"Pablo no esta pasando por un buen momento. Todo le sale mal y las presiones lo llevan aun punto critico en su vida. En ese momento tiene una revelacion divina: los 6 numerosganadores de un sorteo. Se juega sus ultimos pesos en LA BOLETA , pero su suerte sigueen contra y a horas del sorteo la boleta termina en manos mafiosas dentro de una villa.Pablo se internara en la villa para recuperar lo que considera la unica salida a su crisis. Unadesopilante comedia con personajes increibles, sucesos cargados de humor y un finalinesperado.",35mm,Largometraje,Comedia,"
Andres E.Paternostro "
784,La Buena Vida ,Año: 2008,"País:: Argentina, Chile, España, Reino Unido",   Aline Kuppenheim   Roberto Farías   Eduardo Paxeco   Bélgica Castro   Alfredo Castro   Manuela Martelli   Paula Sotelo   Manuela Oyarzún   Francisco Acuña   Néstor Corona   Carolina Correa   Luis Roque   Hernán Lacalle   Aldo Parodi   Hugo Medina   Marcial Edwards   Francisca Rojo   Jorge Alis  ,96,"
   Aline Kuppenheim   Roberto Farías   Eduardo Paxeco   Bélgica Castro   Alfredo Castro   Manuela Martelli   Paula Sotelo   Manuela Oyarzún   Francisco Acuña   Néstor Corona   Carolina Correa   Luis Roque   Hernán Lacalle   Aldo Parodi   Hugo Medina   Marcial Edwards   Francisca Rojo   Jorge Alis   ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
785,La Cámara Oscura,Año: 2007,"País:: Argentina, Francia","En una colonia de Entre Ríos, Argentina, a fines del siglo diecinueve, descubrimos la historiade Gertrudis, una mujer que según el parecer de su familia nace fea, crece siendouna niña poco agraciada y finalmente se convierte, según la mirada de la gente en unamujer insignificante. Siendo ignorada por los otros, Gertrudis no renuncia por ello a verel mundo que la rodea con un ávido interés. Sólo años más tarde, ya casada y con hijos,un fotógrafo francés llega a lacasa de campo de Gertrudis y será el único que descubra,con otra ""mirada"", la particular belleza de la protagonista y su intenso mundo interno",87,Drama,"
María Victoria Menis ",
786,La campana,Año: 2010,País:: Argentina,"Esta es una historia de amor desencontrado ambientada en el puerto de Mar del Plata durantela guerra de las Malvinas. Pese al clima adverso un pescador sale mar adentro escapando desus emociones y se pierde, llegando a una zona denominada “La Campana”, un lugar mítico endonde el tiempo se detiene. Mientras para él solo trascurre una tarde, en la tierra pasan más deveinte años. Al regresar al puerto, descubrirá que el país ya no es el mismo y las personas habráncambiado.",78,Ficción,"
Fredy Torres ",
787,La caracas,Año: 2010,País:: Argentina,"Una carrera de automovilismo de 10 mil kilómetros protagonizada por los mejores pilotos detoda Latinoamérica. Corrida sobre terrenos precarios, en una epopeya deportiva que describea cada kilómetro la historia social, política y cultural del continente sudamericano durante elconvulsionado año 1948. Una ruta donde los corredores dejaron una huella de unión y solidaridadentre sus pueblos. A 60 años de la mayor carrera de turismo carretera de todos los tiempos: “lautopía no sólo es la meta, sino también el camino”.",88,Documental,"
Andrés Cedrón ",
788,La carcel del fin del mundo,Año: 2013,País:: Argentina,"La República Argentina goza del privilegio de contener a la ciudad más austral del mundo:Ushuaia. El dato elocuente es que fue una cárcel la que dio vida a dicha ciudad. Otro datoelocuente es que la cárcel formó parte del proyecto de colonización de una tierra que pocotiempo antes había sufrido el exterminio de sus auténticos pobladores, los onas. Para elimaginario colectivo, dicho presidio siempre fue sinónimo de ""viaje sin retorno"".",DCP,Largometraje,Documental,"
Lucía Vassallo "
789,La Carne,Año: 2010,País:: Paraguay,Seguinos en:,,,"
        Ene        ","
        Abr        "
790,La carrera del animal,Año: 2011,País:: Argentina,"Cientos de personas pierden sus empleos tras el cierre de una empresa local. Su dueño desaparece,dejando a sus dos hijos como principales responsables del fenómeno.",Largometraje,"
Nicolás Grosso ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
